ServiceName;Alias;Permission;Action;Description;AccessLevel;Resource
Amazon Connect;connect;BatchAssociateAnalyticsDataSet [permission only];connect:BatchAssociateAnalyticsDataSet [permission only];Grants permission to grant access and to associate the datasets with the specified AWS account;Write;True
Amazon Connect;connect;BatchDisassociateAnalyticsDataSet [permission only];connect:BatchDisassociateAnalyticsDataSet [permission only];Grants permission to revoke access and to disassociate the datasets with the specified AWS account;Write;True
Amazon Connect;connect;ClaimPhoneNumber;connect:ClaimPhoneNumber;Grants permission to claim phone number resources in an Amazon Connect instance or traffic distribution group;Write;True
Amazon Connect;connect;CreateAgentStatus;connect:CreateAgentStatus;Grants permission to create agent status in an Amazon Connect instance;Write;True
Amazon Connect;connect;CreateContactFlow;connect:CreateContactFlow;Grants permission to create a contact flow in an Amazon Connect instance;Write;True
Amazon Connect;connect;CreateContactFlowModule;connect:CreateContactFlowModule;Grants permission to create a contact flow module in an Amazon Connect instance;Write;True
Amazon Connect;connect;CreateHoursOfOperation;connect:CreateHoursOfOperation;Grants permission to create hours of operation in an Amazon Connect instance;Write;True
Amazon Connect;connect;CreateInstance;connect:CreateInstance;Grants permission to create a new Amazon Connect instance;Write;False
Amazon Connect;connect;CreateIntegrationAssociation;connect:CreateIntegrationAssociation;Grants permission to create an integration association with an Amazon Connect instance;Write;True
Amazon Connect;connect;CreateQueue;connect:CreateQueue;Grants permission to create a queue in an Amazon Connect instance;Write;True
Amazon Connect;connect;CreateQuickConnect;connect:CreateQuickConnect;Grants permission to create a quick connect in an Amazon Connect instance;Write;True
Amazon Connect;connect;CreateRoutingProfile;connect:CreateRoutingProfile;Grants permission to create a routing profile in an Amazon Connect instance;Write;True
Amazon Connect;connect;CreateSecurityProfile;connect:CreateSecurityProfile;Grants permission to create a security profile for the specified Amazon Connect instance;Write;True
Amazon Connect;connect;CreateTaskTemplate;connect:CreateTaskTemplate;Grants permission to create a task template in an Amazon Connect instance;Write;True
Amazon Connect;connect;CreateTrafficDistributionGroup;connect:CreateTrafficDistributionGroup;Grants permission to create a traffic distribution group;Write;True
Amazon Connect;connect;CreateUseCase;connect:CreateUseCase;Grants permission to create a use case for an integration association;Write;True
Amazon Connect;connect;CreateUser;connect:CreateUser;Grants permission to create a user for the specified Amazon Connect instance;Write;True
Amazon Connect;connect;CreateUserHierarchyGroup;connect:CreateUserHierarchyGroup;Grants permission to create a user hierarchy group in an Amazon Connect instance;Write;True
Amazon Connect;connect;CreateVocabulary;connect:CreateVocabulary;Grants permission to create a vocabulary in an Amazon Connect instance;Write;True
Amazon Connect;connect;DeleteContactFlow;connect:DeleteContactFlow;Grants permission to delete a contact flow in an Amazon Connect instance;Write;True
Amazon Connect;connect;DeleteContactFlowModule;connect:DeleteContactFlowModule;Grants permission to delete a contact flow module in an Amazon Connect instance;Write;True
Amazon Connect;connect;DeleteHoursOfOperation;connect:DeleteHoursOfOperation;Grants permission to delete hours of operation in an Amazon Connect instance;Write;True
Amazon Connect;connect;DeleteInstance;connect:DeleteInstance;Grants permission to delete an Amazon Connect instance. When you remove an instance, the link to an existing AWS directory is also removed;Write;True
Amazon Connect;connect;DeleteIntegrationAssociation;connect:DeleteIntegrationAssociation;Grants permission to delete an integration association from an Amazon Connect instance. The association must not have any use cases associated with it;Write;True
Amazon Connect;connect;DeleteQuickConnect;connect:DeleteQuickConnect;Grants permission to delete a quick connect in an Amazon Connect instance;Write;True
Amazon Connect;connect;DeleteSecurityProfile;connect:DeleteSecurityProfile;Grants permission to delete a security profile in an Amazon Connect instance;Write;True
Amazon Connect;connect;DeleteTaskTemplate;connect:DeleteTaskTemplate;Grants permission to delete a task template in an Amazon Connect instance;Write;True
Amazon Connect;connect;DeleteTrafficDistributionGroup;connect:DeleteTrafficDistributionGroup;Grants permission to delete a traffic distribution group;Write;True
Amazon Connect;connect;DeleteUseCase;connect:DeleteUseCase;Grants permission to delete a use case from an integration association;Write;True
Amazon Connect;connect;DeleteUser;connect:DeleteUser;Grants permission to delete a user in an Amazon Connect instance;Write;True
Amazon Connect;connect;DeleteUserHierarchyGroup;connect:DeleteUserHierarchyGroup;Grants permission to delete a user hierarchy group in an Amazon Connect instance;Write;True
Amazon Connect;connect;DeleteVocabulary;connect:DeleteVocabulary;Grants permission to delete a vocabulary in an Amazon Connect instance;Write;True
Amazon Connect;connect;DescribeAgentStatus;connect:DescribeAgentStatus;Grants permission to describe agent status in an Amazon Connect instance;Read;True
Amazon Connect;connect;DescribeContact;connect:DescribeContact;Grants permission to describe a contact in an Amazon Connect instance;Read;True
Amazon Connect;connect;DescribeContactFlow;connect:DescribeContactFlow;Grants permission to describe a contact flow in an Amazon Connect instance;Read;True
Amazon Connect;connect;DescribeContactFlowModule;connect:DescribeContactFlowModule;Grants permission to describe a contact flow module in an Amazon Connect instance;Read;True
Amazon Connect;connect;DescribeForecastingPlanningSchedulingIntegration [permission only];connect:DescribeForecastingPlanningSchedulingIntegration [permission only];Grants permission to describe the status of forecasting, planning, and scheduling integration on an Amazon Connect instance;Read;True
Amazon Connect;connect;DescribeHoursOfOperation;connect:DescribeHoursOfOperation;Grants permission to describe hours of operation in an Amazon Connect instance;Read;True
Amazon Connect;connect;DescribeInstance;connect:DescribeInstance;Grants permission to view details of an Amazon Connect instance and is also required to create an instance;Read;True
Amazon Connect;connect;DescribeInstanceAttribute;connect:DescribeInstanceAttribute;Grants permission to view the attribute details of an existing Amazon Connect instance;Read;True
Amazon Connect;connect;DescribeInstanceStorageConfig;connect:DescribeInstanceStorageConfig;Grants permission to view the instance storage configuration for an existing Amazon Connect instance;Read;True
Amazon Connect;connect;DescribePhoneNumber;connect:DescribePhoneNumber;Grants permission to describe phone number resources in an Amazon Connect instance or traffic distribution group;Read;True
Amazon Connect;connect;DescribeQueue;connect:DescribeQueue;Grants permission to describe a queue in an Amazon Connect instance;Read;True
Amazon Connect;connect;DescribeQuickConnect;connect:DescribeQuickConnect;Grants permission to describe a quick connect in an Amazon Connect instance;Read;True
Amazon Connect;connect;DescribeRoutingProfile;connect:DescribeRoutingProfile;Grants permission to describe a routing profile in an Amazon Connect instance;Read;True
Amazon Connect;connect;DescribeSecurityProfile;connect:DescribeSecurityProfile;Grants permission to describe a security profile in an Amazon Connect instance;Read;True
Amazon Connect;connect;DescribeTrafficDistributionGroup;connect:DescribeTrafficDistributionGroup;Grants permission to describe a traffic distribution group;Read;True
Amazon Connect;connect;DescribeUser;connect:DescribeUser;Grants permission to describe a user in an Amazon Connect instance;Read;True
Amazon Connect;connect;DescribeUserHierarchyGroup;connect:DescribeUserHierarchyGroup;Grants permission to describe a hierarchy group for an Amazon Connect instance;Read;True
Amazon Connect;connect;DescribeUserHierarchyStructure;connect:DescribeUserHierarchyStructure;Grants permission to describe the hierarchy structure for an Amazon Connect instance;Read;True
Amazon Connect;connect;DescribeVocabulary;connect:DescribeVocabulary;Grants permission to describe a vocabulary in an Amazon Connect instance;Read;True
Amazon Connect;connect;DisassociateApprovedOrigin;connect:DisassociateApprovedOrigin;Grants permission to disassociate approved origin for an existing Amazon Connect instance;Write;True
Amazon Connect;connect;DisassociateBot;connect:DisassociateBot;Grants permission to disassociate a Lex bot for an existing Amazon Connect instance;Write;True
Amazon Connect;connect;DisassociateCustomerProfilesDomain;connect:DisassociateCustomerProfilesDomain;Grants permission to disassociate a Customer Profiles domain for an existing Amazon Connect instance;Write;True
Amazon Connect;connect;DisassociateInstanceStorageConfig;connect:DisassociateInstanceStorageConfig;Grants permission to disassociate instance storage for an existing Amazon Connect instance;Write;True
Amazon Connect;connect;DisassociateLambdaFunction;connect:DisassociateLambdaFunction;Grants permission to disassociate a Lambda function for an existing Amazon Connect instance;Write;True
Amazon Connect;connect;DisassociateLexBot;connect:DisassociateLexBot;Grants permission to disassociate a Lex bot for an existing Amazon Connect instance;Write;True
Amazon Connect;connect;DisassociatePhoneNumberContactFlow;connect:DisassociatePhoneNumberContactFlow;Grants permission to disassociate contact flow resources from phone number resources in an Amazon Connect instance;Write;True
Amazon Connect;connect;DisassociateQueueQuickConnects;connect:DisassociateQueueQuickConnects;Grants permission to disassociate quick connects from a queue in an Amazon Connect instance;Write;True
Amazon Connect;connect;DisassociateRoutingProfileQueues;connect:DisassociateRoutingProfileQueues;Grants permission to disassociate queues from a routing profile in an Amazon Connect instance;Write;True
Amazon Connect;connect;DisassociateSecurityKey;connect:DisassociateSecurityKey;Grants permission to disassociate the security key for an existing Amazon Connect instance;Write;True
Amazon Connect;connect;DismissUserContact;connect:DismissUserContact;Grants permission to dismiss terminated Contact from Agent CCP;Write;True
Amazon Connect;connect;GetContactAttributes;connect:GetContactAttributes;Grants permission to retrieve the contact attributes for the specified contact;Read;True
Amazon Connect;connect;GetCurrentMetricData;connect:GetCurrentMetricData;Grants permission to retrieve current metric data for the queues in an Amazon Connect instance;Read;True
Amazon Connect;connect;GetCurrentUserData;connect:GetCurrentUserData;Grants permission to retrieve current user data in an Amazon Connect instance;Read;True
Amazon Connect;connect;GetFederationToken;connect:GetFederationToken;Grants permission to federate into an Amazon Connect instance when using SAML-based authentication for identity management;Read;True
Amazon Connect;connect;GetFederationTokens;connect:GetFederationTokens;Grants permission to federate into an Amazon Connect instance (Log in for emergency access functionality in the Amazon Connect console);Write;True
Amazon Connect;connect;GetMetricData;connect:GetMetricData;Grants permission to retrieve historical metric data for queues in an Amazon Connect instance;Read;True
Amazon Connect;connect;GetTaskTemplate;connect:GetTaskTemplate;Grants permission to get details about specified task template in an Amazon Connect instance;Read;True
Amazon Connect;connect;GetTrafficDistribution;connect:GetTrafficDistribution;Grants permission to read traffic distribution for a traffic distribution group;List;True
Amazon Connect;connect;ListAgentStatuses;connect:ListAgentStatuses;Grants permission to list agent statuses in an Amazon Connect instance;List;True
Amazon Connect;connect;ListApprovedOrigins;connect:ListApprovedOrigins;Grants permission to view approved origins of an existing Amazon Connect instance;List;True
Amazon Connect;connect;ListBots;connect:ListBots;Grants permission to view the Lex bots of an existing Amazon Connect instance;List;True
Amazon Connect;connect;ListContactFlowModules;connect:ListContactFlowModules;Grants permission to list contact flow module resources in an Amazon Connect instance;List;True
Amazon Connect;connect;ListContactFlows;connect:ListContactFlows;Grants permission to list contact flow resources in an Amazon Connect instance;List;True
Amazon Connect;connect;ListContactReferences;connect:ListContactReferences;Grants permission to list references associated with a contact in an Amazon Connect instance;List;True
Amazon Connect;connect;ListDefaultVocabularies;connect:ListDefaultVocabularies;Grants permission to list default vocabularies associated with a Amazon Connect instance;List;True
Amazon Connect;connect;ListHoursOfOperations;connect:ListHoursOfOperations;Grants permission to list hours of operation resources in an Amazon Connect instance;List;True
Amazon Connect;connect;ListInstanceAttributes;connect:ListInstanceAttributes;Grants permission to view the attributes of an existing Amazon Connect instance;List;True
Amazon Connect;connect;ListInstanceStorageConfigs;connect:ListInstanceStorageConfigs;Grants permission to view storage configurations of an existing Amazon Connect instance;List;True
Amazon Connect;connect;ListInstances;connect:ListInstances;Grants permission to view the Amazon Connect instances associated with an AWS account;List;False
Amazon Connect;connect;ListIntegrationAssociations;connect:ListIntegrationAssociations;Grants permission to list summary information about the integration associations for the specified Amazon Connect instance;List;True
Amazon Connect;connect;ListLambdaFunctions;connect:ListLambdaFunctions;Grants permission to view the Lambda functions of an existing Amazon Connect instance;List;True
Amazon Connect;connect;ListLexBots;connect:ListLexBots;Grants permission to view the Lex bots of an existing Amazon Connect instance;List;True
Amazon Connect;connect;ListPhoneNumbers;connect:ListPhoneNumbers;Grants permission to list phone number resources in an Amazon Connect instance;List;True
Amazon Connect;connect;ListPhoneNumbersV2;connect:ListPhoneNumbersV2;Grants permission to list phone number resources in an Amazon Connect instance;List;True
Amazon Connect;connect;ListPrompts;connect:ListPrompts;Grants permission to list prompt resources in an Amazon Connect instance;List;True
Amazon Connect;connect;ListQueueQuickConnects;connect:ListQueueQuickConnects;Grants permission to list quick connect resources in a queue in an Amazon Connect instance;List;True
Amazon Connect;connect;ListQueues;connect:ListQueues;Grants permission to list queue resources in an Amazon Connect instance;List;True
Amazon Connect;connect;ListQuickConnects;connect:ListQuickConnects;Grants permission to list quick connect resources in an Amazon Connect instance;List;True
Amazon Connect;connect;ListRealtimeContactAnalysisSegments;connect:ListRealtimeContactAnalysisSegments;Grants permission to list the analysis segments for a real-time analysis session;Read;True
Amazon Connect;connect;ListRoutingProfileQueues;connect:ListRoutingProfileQueues;Grants permission to list queue resources in a routing profile in an Amazon Connect instance;List;True
Amazon Connect;connect;ListRoutingProfiles;connect:ListRoutingProfiles;Grants permission to list routing profile resources in an Amazon Connect instance;List;True
Amazon Connect;connect;ListSecurityKeys;connect:ListSecurityKeys;Grants permission to view the security keys of an existing Amazon Connect instance;List;True
Amazon Connect;connect;ListSecurityProfilePermissions;connect:ListSecurityProfilePermissions;Grants permission to list permissions associated with security profile in an Amazon Connect instance;List;True
Amazon Connect;connect;ListSecurityProfiles;connect:ListSecurityProfiles;Grants permission to list security profile resources in an Amazon Connect instance;List;True
Amazon Connect;connect;ListTagsForResource;connect:ListTagsForResource;Grants permission to list tags for an Amazon Connect resource;Read;True
Amazon Connect;connect;ListTaskTemplates;connect:ListTaskTemplates;Grants permission to list task template resources in an Amazon Connect instance;List;True
Amazon Connect;connect;ListTrafficDistributionGroups;connect:ListTrafficDistributionGroups;Grants permission to list traffic distribution groups;List;True
Amazon Connect;connect;ListUseCases;connect:ListUseCases;Grants permission to list the use cases of an integration association;List;True
Amazon Connect;connect;ListUserHierarchyGroups;connect:ListUserHierarchyGroups;Grants permission to list the hierarchy group resources in an Amazon Connect instance;List;True
Amazon Connect;connect;ListUsers;connect:ListUsers;Grants permission to list user resources in an Amazon Connect instance;List;True
Amazon Connect;connect;PutUserStatus;connect:PutUserStatus;Grants permission to switch User Status in an Amazon Connect instance;Write;True
Amazon Connect;connect;ReleasePhoneNumber;connect:ReleasePhoneNumber;Grants permission to release phone number resources in an Amazon Connect instance;Write;True
Amazon Connect;connect;ReplicateInstance;connect:ReplicateInstance;Grants permission to create a replica of an Amazon Connect instance;Write;False
Amazon Connect;connect;ResumeContactRecording;connect:ResumeContactRecording;Grants permission to resume recording for the specified contact;Write;True
Amazon Connect;connect;SearchAvailablePhoneNumbers;connect:SearchAvailablePhoneNumbers;Grants permission to search phone number resources in an Amazon Connect instance or traffic distribution group;List;True
Amazon Connect;connect;SearchQueues;connect:SearchQueues;Grants permission to search queue resources in an Amazon Connect instance;Read;True
Amazon Connect;connect;SearchRoutingProfiles;connect:SearchRoutingProfiles;Grants permission to search routing profile resources in an Amazon Connect instance;Read;True
Amazon Connect;connect;SearchSecurityProfiles;connect:SearchSecurityProfiles;Grants permission to search security profile resources in an Amazon Connect instance;Read;True
Amazon Connect;connect;SearchUsers;connect:SearchUsers;Grants permission to search user resources in an Amazon Connect instance;Read;True
Amazon Connect;connect;SearchVocabularies;connect:SearchVocabularies;Grants permission to search vocabularies in a Amazon Connect instance;List;True
Amazon Connect;connect;StartChatContact;connect:StartChatContact;Grants permission to initiate a chat using the Amazon Connect API;Write;True
Amazon Connect;connect;StartContactRecording;connect:StartContactRecording;Grants permission to start recording for the specified contact;Write;True
Amazon Connect;connect;StartContactStreaming;connect:StartContactStreaming;Grants permission to start chat streaming using the Amazon Connect API;Write;True
Amazon Connect;connect;StartForecastingPlanningSchedulingIntegration [permission only];connect:StartForecastingPlanningSchedulingIntegration [permission only];Grants permission to enable forecasting, planning, and scheduling integration on an Amazon Connect instance;Write;True
Amazon Connect;connect;StartOutboundVoiceContact;connect:StartOutboundVoiceContact;Grants permission to initiate outbound calls using the Amazon Connect API;Write;True
Amazon Connect;connect;StartTaskContact;connect:StartTaskContact;Grants permission to initiate a task using the Amazon Connect API;Write;True
Amazon Connect;connect;StopContact;connect:StopContact;Grants permission to stop contacts that were initiated using the Amazon Connect API. If you use this operation on an active contact the contact ends, even if the agent is active on a call with a customer;Write;True
Amazon Connect;connect;StopContactRecording;connect:StopContactRecording;Grants permission to stop recording for the specified contact;Write;True
Amazon Connect;connect;StopContactStreaming;connect:StopContactStreaming;Grants permission to stop chat streaming using the Amazon Connect API;Write;True
Amazon Connect;connect;StopForecastingPlanningSchedulingIntegration [permission only];connect:StopForecastingPlanningSchedulingIntegration [permission only];Grants permission to disable forecasting, planning, and scheduling integration on an Amazon Connect instance;Write;True
Amazon Connect;connect;SuspendContactRecording;connect:SuspendContactRecording;Grants permission to suspend recording for the specified contact;Write;True
Amazon Connect;connect;TagResource;connect:TagResource;Grants permission to tag an Amazon Connect resource;Tagging;True
Amazon Connect;connect;TransferContact;connect:TransferContact;Grants permission to transfer the contact to another queue or agent;Write;True
Amazon Connect;connect;UntagResource;connect:UntagResource;Grants permission to untag an Amazon Connect resource;Tagging;True
Amazon Connect;connect;UpdateAgentStatus;connect:UpdateAgentStatus;Grants permission to update agent status in an Amazon Connect instance;Write;True
Amazon Connect;connect;UpdateContact;connect:UpdateContact;Grants permission to update a contact in an Amazon Connect instance;Write;True
Amazon Connect;connect;UpdateContactAttributes;connect:UpdateContactAttributes;Grants permission to create or update the contact attributes associated with the specified contact;Write;True
Amazon Connect;connect;UpdateContactFlowContent;connect:UpdateContactFlowContent;Grants permission to update contact flow content in an Amazon Connect instance;Write;True
Amazon Connect;connect;UpdateContactFlowMetadata;connect:UpdateContactFlowMetadata;Grants permission to update the metadata of a contact flow in an Amazon Connect instance;Write;True
Amazon Connect;connect;UpdateContactFlowModuleContent;connect:UpdateContactFlowModuleContent;Grants permission to update contact flow module content in an Amazon Connect instance;Write;True
Amazon Connect;connect;UpdateContactFlowModuleMetadata;connect:UpdateContactFlowModuleMetadata;Grants permission to update the metadata of a contact flow module in an Amazon Connect instance;Write;True
Amazon Connect;connect;UpdateContactFlowName;connect:UpdateContactFlowName;Grants permission to update the name and description of a contact flow in an Amazon Connect instance;Write;True
Amazon Connect;connect;UpdateContactSchedule;connect:UpdateContactSchedule;Grants permission to update the schedule of a contact that is already scheduled in an Amazon Connect instance;Write;True
Amazon Connect;connect;UpdateHoursOfOperation;connect:UpdateHoursOfOperation;Grants permission to update hours of operation in an Amazon Connect instance;Write;True
Amazon Connect;connect;UpdateInstanceAttribute;connect:UpdateInstanceAttribute;Grants permission to update the attribute for an existing Amazon Connect instance;Write;True
Amazon Connect;connect;UpdateInstanceStorageConfig;connect:UpdateInstanceStorageConfig;Grants permission to update the storage configuration for an existing Amazon Connect instance;Write;True
Amazon Connect;connect;UpdatePhoneNumber;connect:UpdatePhoneNumber;Grants permission to update phone number resources in an Amazon Connect instance or traffic distribution group;Write;True
Amazon Connect;connect;UpdateQueueHoursOfOperation;connect:UpdateQueueHoursOfOperation;Grants permission to update queue hours of operation in an Amazon Connect instance;Write;True
Amazon Connect;connect;UpdateQueueMaxContacts;connect:UpdateQueueMaxContacts;Grants permission to update queue capacity in an Amazon Connect instance;Write;True
Amazon Connect;connect;UpdateQueueName;connect:UpdateQueueName;Grants permission to update a queue name and description in an Amazon Connect instance;Write;True
Amazon Connect;connect;UpdateQueueOutboundCallerConfig;connect:UpdateQueueOutboundCallerConfig;Grants permission to update queue outbound caller config in an Amazon Connect instance;Write;True
Amazon Connect;connect;UpdateQueueStatus;connect:UpdateQueueStatus;Grants permission to update queue status in an Amazon Connect instance;Write;True
Amazon Connect;connect;UpdateQuickConnectConfig;connect:UpdateQuickConnectConfig;Grants permission to update the configuration of a quick connect in an Amazon Connect instance;Write;True
Amazon Connect;connect;UpdateQuickConnectName;connect:UpdateQuickConnectName;Grants permission to update a quick connect name and description in an Amazon Connect instance;Write;True
Amazon Connect;connect;UpdateRoutingProfileConcurrency;connect:UpdateRoutingProfileConcurrency;Grants permission to update the concurrency in a routing profile in an Amazon Connect instance;Write;True
Amazon Connect;connect;UpdateRoutingProfileDefaultOutboundQueue;connect:UpdateRoutingProfileDefaultOutboundQueue;Grants permission to update the outbound queue in a routing profile in an Amazon Connect instance;Write;True
Amazon Connect;connect;UpdateRoutingProfileName;connect:UpdateRoutingProfileName;Grants permission to update a routing profile name and description in an Amazon Connect instance;Write;True
Amazon Connect;connect;UpdateRoutingProfileQueues;connect:UpdateRoutingProfileQueues;Grants permission to update the queues in routing profile in an Amazon Connect instance;Write;True
Amazon Connect;connect;UpdateSecurityProfile;connect:UpdateSecurityProfile;Grants permission to update a security profile group for a user in an Amazon Connect instance;Write;True
Amazon Connect;connect;UpdateTaskTemplate;connect:UpdateTaskTemplate;Grants permission to update task template belonging to a Amazon Connect instance;Write;True
Amazon Connect;connect;UpdateTrafficDistribution;connect:UpdateTrafficDistribution;Grants permission to update traffic distribution for a traffic distribution group;Write;True
Amazon Connect;connect;UpdateUserHierarchy;connect:UpdateUserHierarchy;Grants permission to update a hierarchy group for a user in an Amazon Connect instance;Write;True
Amazon Connect;connect;UpdateUserHierarchyGroupName;connect:UpdateUserHierarchyGroupName;Grants permission to update a user hierarchy group name in an Amazon Connect instance;Write;True
Amazon Connect;connect;UpdateUserHierarchyStructure;connect:UpdateUserHierarchyStructure;Grants permission to update user hierarchy structure in an Amazon Connect instance;Write;True
Amazon Connect;connect;UpdateUserIdentityInfo;connect:UpdateUserIdentityInfo;Grants permission to update identity information for a user in an Amazon Connect instance;Write;True
Amazon Connect;connect;UpdateUserPhoneConfig;connect:UpdateUserPhoneConfig;Grants permission to update phone configuration settings for a user in an Amazon Connect instance;Write;True
Amazon Connect;connect;UpdateUserRoutingProfile;connect:UpdateUserRoutingProfile;Grants permission to update a routing profile for a user in an Amazon Connect instance;Write;True
Amazon Connect;connect;UpdateUserSecurityProfiles;connect:UpdateUserSecurityProfiles;Grants permission to update security profiles for a user in an Amazon Connect instance;Write;True
Amazon Connect;connect;UpdatedescribeContent;connect:UpdatedescribeContent;Grants permission to update contact flow module content in an Amazon Connect instance;Write;True
Amazon Connect Cases;cases;BatchGetField;cases:BatchGetField;Grants permission to retrieve information about the fields in the case domain;Read;True
Amazon Connect Cases;cases;BatchPutFieldOptions;cases:BatchPutFieldOptions;Grants permission to update the field options in the case domain;Write;True
Amazon Connect Cases;cases;CreateCase;cases:CreateCase;Grants permission to create a case in the case domain;Write;True
Amazon Connect Cases;cases;CreateDomain;cases:CreateDomain;Grants permission to create a new case domain;Write;False
Amazon Connect Cases;cases;CreateField;cases:CreateField;Grants permission to create a field in the case domain;Write;True
Amazon Connect Cases;cases;CreateLayout;cases:CreateLayout;Grants permission to create a layout in the case domain;Write;True
Amazon Connect Cases;cases;CreateRelatedItem;cases:CreateRelatedItem;Grants permission to create a related item associated to a case in the case domain;Write;True
Amazon Connect Cases;cases;CreateTemplate;cases:CreateTemplate;Grants permission to create a template in the case domain;Write;True
Amazon Connect Cases;cases;GetCase;cases:GetCase;Grants permission to retrieve information about a case in the case domain;Read;True
Amazon Connect Cases;cases;GetCaseEventConfiguration;cases:GetCaseEventConfiguration;Grants permission to retrieve information about the case event configuraton in the case domain;Read;True
Amazon Connect Cases;cases;GetDomain;cases:GetDomain;Grants permission to retrieve information about the case domain;Read;True
Amazon Connect Cases;cases;GetLayout;cases:GetLayout;Grants permission to retrieve information about the layout in the case domain;Read;True
Amazon Connect Cases;cases;GetTemplate;cases:GetTemplate;Grants permission to retrieve information about the template in the case domain;Read;True
Amazon Connect Cases;cases;ListCasesForContact;cases:ListCasesForContact;Grants permission to list cases for a specific contact in the case domain;List;True
Amazon Connect Cases;cases;ListDomains;cases:ListDomains;Grants permission to list all domains in the aws account;List;False
Amazon Connect Cases;cases;ListFieldOptions;cases:ListFieldOptions;Grants permission to list field options for a single select field in the case domain;List;True
Amazon Connect Cases;cases;ListFields;cases:ListFields;Grants permission to list fields in the case domain;List;True
Amazon Connect Cases;cases;ListLayouts;cases:ListLayouts;Grants permission to list layouts in the case domain;List;True
Amazon Connect Cases;cases;ListTagsForResource;cases:ListTagsForResource;Grants permission to list the tags for the specified resource;Read;False
Amazon Connect Cases;cases;ListTemplates;cases:ListTemplates;Grants permission to list templates in the case domain;List;True
Amazon Connect Cases;cases;PutCaseEventConfiguration;cases:PutCaseEventConfiguration;Grants permission to insert or update the case event configuration in the case domain;Write;True
Amazon Connect Cases;cases;SearchCases;cases:SearchCases;Grants permission to search for cases in the case domain;Read;True
Amazon Connect Cases;cases;SearchRelatedItems;cases:SearchRelatedItems;Grants permission to search for related items associated to the case in the case domain;Read;True
Amazon Connect Cases;cases;TagResource;cases:TagResource;Grants permission to add the specified tags to the specified resource;Tagging;True
Amazon Connect Cases;cases;UntagResource;cases:UntagResource;Grants permission to remove the specified tags from the specified resource;Tagging;True
Amazon Connect Cases;cases;UpdateCase;cases:UpdateCase;Grants permission to update the field values on the case in the case domain;Write;True
Amazon Connect Cases;cases;UpdateField;cases:UpdateField;Grants permission to update the field in the case domain;Write;True
Amazon Connect Cases;cases;UpdateLayout;cases:UpdateLayout;Grants permission to update the layout in the case domain;Write;True
Amazon Connect Cases;cases;UpdateTemplate;cases:UpdateTemplate;Grants permission to update the template in the case domain;Write;True
Amazon Connect Customer Profiles;profile;AddProfileKey;profile:AddProfileKey;Grants permission to add a profile key;Write;True
Amazon Connect Customer Profiles;profile;CreateDomain;profile:CreateDomain;Grants permission to create a Domain;Write;True
Amazon Connect Customer Profiles;profile;CreateIntegrationWorkflow;profile:CreateIntegrationWorkflow;Grants permission to create an integration workflow in a domain;Write;True
Amazon Connect Customer Profiles;profile;CreateProfile;profile:CreateProfile;Grants permission to create a profile in the domain;Write;True
Amazon Connect Customer Profiles;profile;DeleteDomain;profile:DeleteDomain;Grants permission to delete a Domain;Write;True
Amazon Connect Customer Profiles;profile;DeleteIntegration;profile:DeleteIntegration;Grants permission to delete a integration in a domain;Write;True
Amazon Connect Customer Profiles;profile;DeleteProfile;profile:DeleteProfile;Grants permission to delete a profile;Write;True
Amazon Connect Customer Profiles;profile;DeleteProfileKey;profile:DeleteProfileKey;Grants permission to delete a profile key;Write;True
Amazon Connect Customer Profiles;profile;DeleteProfileObject;profile:DeleteProfileObject;Grants permission to delete a profile object;Write;True
Amazon Connect Customer Profiles;profile;DeleteProfileObjectType;profile:DeleteProfileObjectType;Grants permission to delete a specific profile object type in the domain;Write;True
Amazon Connect Customer Profiles;profile;DeleteWorkflow;profile:DeleteWorkflow;Grants permission to delete a workflow in a domain;Write;True
Amazon Connect Customer Profiles;profile;GetAutoMergingPreview;profile:GetAutoMergingPreview;Grants permission to get a preview of auto merging in a domain;Read;True
Amazon Connect Customer Profiles;profile;GetDomain;profile:GetDomain;Grants permission to get a specific domain in an account;Read;True
Amazon Connect Customer Profiles;profile;GetIdentityResolutionJob;profile:GetIdentityResolutionJob;Grants permission to get an identity resolution job in a domain;Read;True
Amazon Connect Customer Profiles;profile;GetIntegration;profile:GetIntegration;Grants permission to get a specific integrations in a domain;Read;True
Amazon Connect Customer Profiles;profile;GetMatches;profile:GetMatches;Grants permission to get profile matches in a domain;List;True
Amazon Connect Customer Profiles;profile;GetProfileObjectType;profile:GetProfileObjectType;Grants permission to get a specific profile object type in the domain;Read;True
Amazon Connect Customer Profiles;profile;GetProfileObjectTypeTemplate;profile:GetProfileObjectTypeTemplate;Grants permission to get a specific object type template;Read;False
Amazon Connect Customer Profiles;profile;GetWorkflow;profile:GetWorkflow;Grants permission to get workflow details in a domain;Read;True
Amazon Connect Customer Profiles;profile;GetWorkflowSteps;profile:GetWorkflowSteps;Grants permission to get workflow step details in a domain;Read;True
Amazon Connect Customer Profiles;profile;ListAccountIntegrations;profile:ListAccountIntegrations;Grants permission to list all the integrations in the account;List;False
Amazon Connect Customer Profiles;profile;ListDomains;profile:ListDomains;Grants permission to list all the domains in an account;List;False
Amazon Connect Customer Profiles;profile;ListIdentityResolutionJobs;profile:ListIdentityResolutionJobs;Grants permission to list identity resolution jobs in a domain;List;True
